Proteina,U-statistic,p-value
aglF,8.000000,0.200000
gpmA,5.000000,1.000000
edd,1.000000,0.200000
arsC,7.000000,0.400000
LPU83_0846,5.000000,1.000000
LPU83_0272,4.000000,1.000000
aceA,8.000000,0.200000
bla,5.000000,1.000000
ftsK1,3.000000,0.700000
ftsK1;ftsK3,9.000000,0.100000
dskA,4.000000,1.000000
pbpC,6.000000,0.700000
dppD1,4.000000,1.000000
rpmI,0.000000,0.100000
CHSJ,3.000000,0.700000
LPU83_0317,6.000000,0.700000
LPU83_0322,8.000000,0.200000
ppx1,1.000000,0.200000
LPU83_0327,7.000000,0.400000
LPU83_1238,5.000000,1.000000
guaB,4.000000,1.000000
oxyR,5.000000,1.000000
gstch1,6.000000,0.700000
gsh1,4.000000,1.000000
glcE,2.000000,0.400000
LPU83_0357,5.000000,1.000000
tag,2.000000,0.400000
LPU83_1243,5.000000,1.000000
lysM,3.000000,0.700000
hisS,0.000000,0.100000
LPU83_0377,2.000000,0.400000
ribF,3.000000,0.700000
LPU83_0382,3.000000,0.700000
dnaN,8.000000,0.200000
LPU83_0953,5.000000,1.000000
cysK,7.000000,0.400000
mutL,2.000000,0.400000
feuQ,7.000000,0.400000
LPU83_0963,5.000000,1.000000
cycL,5.000000,1.000000
betC,3.000000,0.700000
mrp,7.000000,0.400000
glnE,6.000000,0.700000
LPU83_0412,6.000000,0.700000
atpB,6.000000,0.700000
dfp,6.000000,0.700000
LPU83_1278,6.000000,0.700000
LPU83_0422,7.000000,0.400000
mgtE1,5.000000,1.000000
glnA3,4.000000,1.000000
moaB,9.000000,0.100000
LPU83_1293,7.000000,0.400000
amaB1,4.000000,1.000000
LPU83_0988,3.000000,0.700000
amn,6.000000,0.700000
mutM,4.000000,1.000000
lemA,1.000000,0.200000
glyS,5.000000,1.000000
LPU83_1318,4.000000,1.000000
hrcA,7.000000,0.400000
ubiA,4.000000,1.000000
dapA3,6.000000,0.700000
LPU83_0457,0.000000,0.100000
LPU83_0462,3.000000,0.700000
POX4,8.000000,0.200000
era,5.000000,1.000000
fur,6.000000,0.700000
tlyA,4.000000,1.000000
LPU83_0472,5.000000,1.000000
xseB,6.000000,0.700000
glnD,4.000000,1.000000
gcvT1,6.000000,0.700000
bioM,9.000000,0.100000
LPU83_0482,8.000000,0.200000
LPU83_0487,5.000000,1.000000
LPU83_1038,9.000000,0.100000
LPU83_1364,9.000000,0.100000
LPU83_0492,3.000000,0.700000
pdxH,8.000000,0.200000
LPU83_1369,7.000000,0.400000
ptsN,2.000000,0.400000
tldD,2.000000,0.400000
LPU83_1374,3.000000,0.700000
def1,2.000000,0.400000
LPU83_1379,2.000000,0.400000
alr,5.000000,1.000000
LPU83_1058,5.000000,1.000000
slyA,4.000000,1.000000
LPU83_0512,3.000000,0.700000
rpsR,3.000000,0.700000
LPU83_1063,0.000000,0.100000
fabG3,2.000000,0.400000
gmk,4.000000,1.000000
yidC,0.000000,0.100000
LPU83_1073,7.000000,0.400000
LPU83_1409,6.000000,0.700000
LPU83_1078,8.000000,0.200000
grpB,9.000000,0.100000
frcC,6.000000,0.700000
moaE,6.000000,0.700000
LPU83_1088,8.000000,0.200000
pyrC1,4.000000,1.000000
ropB,4.000000,1.000000
ppdK,7.000000,0.400000
rlmJ,6.000000,0.700000
LPU83_0548,2.000000,0.400000
purN,2.000000,0.400000
LPU83_1105,1.000000,0.200000
LPU83_1105;ina,6.000000,0.700000
ppx,9.000000,0.100000
lguL,6.000000,0.700000
cysH,3.000000,0.700000
LPU83_0563,9.000000,0.100000
LPU83_1454,6.000000,0.700000
betA,5.000000,1.000000
LPU83_0568,3.000000,0.700000
LPU83_1459,6.000000,0.700000
LPU83_1464,5.000000,1.000000
LPU83_1469,7.000000,0.400000
hppA,7.000000,0.400000
fabH,7.000000,0.400000
LPU83_1135,4.000000,1.000000
LPU83_1484,3.000000,0.700000
ohr1,4.000000,1.000000
cpsA,0.000000,0.100000
LPU83_1145,8.000000,0.200000
LPU83_1150,0.000000,0.100000
mrcA,3.000000,0.700000
LPU83_1160,7.000000,0.400000
LPU83_1515,3.000000,0.700000
LPU83_1525,6.000000,0.700000
LPU83_1175,7.000000,0.400000
LPU83_1180,3.000000,0.700000
phoR,8.000000,0.200000
ntrY;phoR,3.000000,0.700000
LPU83_1550,2.000000,0.400000
phoU,3.000000,0.700000
rLmB,3.000000,0.700000
argF,4.000000,1.000000
nusG,2.000000,0.400000
gcd,6.000000,0.700000
rpsG,3.000000,0.700000
rplD,1.000000,0.200000
LPU83_1220,3.000000,0.700000
rpsC,0.000000,0.100000
LPU83_1225,5.000000,1.000000
rplX,0.000000,0.100000
pyrD,3.000000,0.700000
rplR,2.000000,0.400000
sufE,1.000000,0.200000
LPU83_0685,3.000000,0.700000
adk,3.000000,0.700000
LPU83_1240,7.000000,0.400000
LPU83_0690,8.000000,0.200000
degQ,9.000000,0.100000
LPU83_0695,7.000000,0.400000
LPU83_0700,2.000000,0.400000
argC,4.000000,1.000000
LPU83_1624,2.000000,0.400000
acd,6.000000,0.700000
cysD3,5.000000,1.000000
LPU83_1245,4.000000,1.000000
LPU83_0715,0.000000,0.100000
LPU83_1634,4.000000,1.000000
LPU83_1639,4.000000,1.000000
galE1,6.000000,0.700000
LPU83_1649,6.000000,0.700000
LPU83_1657,4.000000,1.000000
LPU83_0736,2.000000,0.400000
nuoH,4.000000,1.000000
cycH,2.000000,0.400000
dop,8.000000,0.200000
nuoM,7.000000,0.400000
pepN,6.000000,0.700000
LPU83_1672,7.000000,0.400000
LPU83_1275,0.000000,0.100000
LPU83_1677,3.000000,0.700000
LPU83_1285,5.000000,1.000000
rpmG,0.000000,0.100000
LPU83_1290,5.000000,1.000000
LPU83_1295,5.000000,1.000000
pyrC3,4.000000,1.000000
gst7,4.000000,1.000000
LPU83_1305,8.000000,0.200000
LPU83_0752,9.000000,0.100000
pheB,4.000000,1.000000
iolE,2.000000,0.400000
LPU83_0767,5.000000,1.000000
LPU83_1320,6.000000,0.700000
cheX,5.000000,1.000000
ropA1,0.000000,0.100000
ropA1;ropA3,1.000000,0.200000
cheB1,5.000000,1.000000
LPU83_1331,4.000000,1.000000
fliG,5.000000,1.000000
acpS,7.000000,0.400000
fliI,3.000000,0.700000
exsF,7.000000,0.400000
flgG,4.000000,1.000000
fliL,4.000000,1.000000
LPU83_0807,2.000000,0.400000
LPU83_1356,7.000000,0.400000
LPU83_0817,7.000000,0.400000
psd,3.000000,0.700000
flbT,0.000000,0.100000
LPU83_1376,3.000000,0.700000
cvpA,1.000000,0.200000
aglG,1.000000,0.200000
pgl,3.000000,0.700000
mclA1,2.000000,0.400000
mclA1;mcpA7,6.000000,0.700000
LPU83_0852,7.000000,0.400000
LPU83_0857,1.000000,0.200000
fabF,7.000000,0.400000
pdxA1,5.000000,1.000000
rirA,1.000000,0.200000
dppF1,3.000000,0.700000
LPU83_0883,3.000000,0.700000
LPU83_1421,9.000000,0.100000
pgsA,5.000000,1.000000
rlmE,6.000000,0.700000
gatC,2.000000,0.400000
LPU83_1431,6.000000,0.700000
nudF3,0.000000,0.100000
LPU83_0904,3.000000,0.700000
perM,7.000000,0.400000
aat1,5.000000,1.000000
LPU83_0909,2.000000,0.400000
LPU83_1446,5.000000,1.000000
rnd,4.000000,1.000000
LPU83_1782,4.000000,1.000000
glcF,6.000000,0.700000
LPU83_1456,6.000000,0.700000
LPU83_0924,4.000000,1.000000
nrdR,2.000000,0.400000
hisZ,2.000000,0.400000
LPU83_1471,7.000000,0.400000
groL,0.000000,0.100000
groEL;groL,1.000000,0.200000
uspA,4.000000,1.000000
LPU83_1476,0.000000,0.100000
ileS,2.000000,0.400000
LPU83_1481,5.000000,1.000000
LPU83_1823,3.000000,0.700000
kdtA,4.000000,1.000000
gumB,7.000000,0.400000
LPU83_0959,2.000000,0.400000
sseA,7.000000,0.400000
LPU83_0964,3.000000,0.700000
