Proteina,T-statistic,p-value,log2FC
LPU83_pLPU83b_0323,-0.9848964572901444,0.3804343607598164,0.03545851330951422
trbF,1.025100940723665,0.3632592889105451,-0.19678832300807514
LPU83_pLPU83b_0338,0.32175144781899084,0.7637533274919106,-0.08224125050176667
yagT,0.758849442321662,0.4902002018978093,-0.19983089407878296
exoU,1.4538862515403344,0.21965137435014603,-0.09887284659063766
LPU83_pLPU83c_0620,1.6853156576073365,0.16720895155242999,-0.25613459125019844
exoM,1.6609612013453479,0.17205769606275498,-0.2890755868102701
LPU83_3263,0.4029287038472371,0.707607289408023,-0.032691359602356584
LPU83_3268,1.2649320162920108,0.2745698532074861,-0.2722090560727892
cspA5,-0.7978666702892617,0.46963216392844787,0.201866527805727
LPU83_pLPU83b_0373,1.4499651709132049,0.22067197085138526,-0.22020584645889585
sugC,1.613640519162723,0.1819035495817881,-0.7786007673314757
LPU83_3273,-1.2333997065027111,0.2849502640856457,0.2811605251090352
LPU83_3278,-0.059092410103992556,0.9557129043885417,0.01574733146458307
LPU83_3288,-0.7647321680741764,0.48705572089563404,0.15564756428086213
tfdB,0.00027950636436102524,0.9997903702301412,-0.00015073618260963428
LPU83_pLPU83b_0400,-1.167111144378008,0.3079961061134616,0.21918387856289456
LPU83_pLPU83c_0367,-0.704533891252933,0.5199574488837392,0.15713259162075843
purU,0.9288813877355656,0.4055291919669091,-0.16842158835768117
LPU83_3323,2.0793986418912462,0.10609511499145764,-0.3439681056034374
rbsR3,-0.18750778432201734,0.860389839955859,0.07942865416142908
exuR,-0.8566165025536167,0.43994279424941496,0.09051700994545087
LPU83_pLPU83b_0415,-1.2667069872736556,0.2739964147197398,0.1069423850997211
LPU83_pLPU83c_0715,1.4631333764994403,0.21726325725587922,-0.384568111967754
appD,-1.0542122469081825,0.35125236596442183,0.093135695297903
celA,1.0611151768658664,0.34845753187398043,-0.2024938212826637
aldA,1.476139886493505,0.21394848652179857,-0.4783385661890289
